"Year","LGA","Contamination_rate"
"2002","Alpine",0.22
"2002","Ararat",4.58
"2002","Ballarat",20.66
"2002","Banyule",5.9
"2002","Bass Coast",0
"2002","Baw Baw",24.63
"2002","Bayside",3.2
"2002","Boroondara",4.33
"2002","Brimbank",0
"2002","Buloke",4.05
"2002","Campaspe",0
"2002","Cardinia",28
"2002","Casey",14.24
"2002","Central Goldfields",4.48
"2002","Colac Otway",0
"2002","Corangamite",28.3
"2002","Darebin",2.98
"2002","East Gippsland",20.44
"2002","Frankston",4.25
"2002","Gannawarra",8.33
"2002","Glen Eira",1.14
"2002","Glenelg",36.54
"2002","Golden Plains",0
"2002","Greater Bendigo",5.21
"2002","Greater Dandenong",24.52
"2002","Greater Geelong",0
"2002","Greater Shepparton",0.2
"2002","Hepburn",0.2
"2002","Hindmarsh",25.75
"2002","Hobsons Bay",3.14
"2002","Horsham",7.34
"2002","Hume",1.05
"2002","Indigo",7.23
"2002","Kingston",2.68
"2002","Knox",6.49
"2002","Latrobe",5.12
"2002","Loddon",0
"2002","Macedon Ranges",13.59
"2002","Manningham",5
"2002","Maribyrnong",2.99
"2002","Maroondah",4.45
"2002","Melbourne",3.12
"2002","Melton",19.39
"2002","Mildura",0
"2002","Mitchell",15
"2002","Moira",0
"2002","Monash",5
"2002","Moonee Valley",2
"2002","Moorabool",0
"2002","Moreland",11.73
"2002","Mornington Peninsula",0
"2002","Mount Alexander",0.41
"2002","Moyne",30.07
"2002","Murrindindi",2.33
"2002","Nillumbik",3.77
"2002","Northern Grampians",3
"2002","Port Phillip",4.49
"2002","Pyrenees",0
"2002","Queenscliffe",0
"2002","South Gippsland",7.97
"2002","Southern Grampians",0.73
"2002","Stonnington",1.37
"2002","Strathbogie",9.95
"2002","Surf Coast",6.82
"2002","Swan Hill",16.6
"2002","Towong",11.89
"2002","Wangaratta",0.89
"2002","Warrnambool",7.88
"2002","Wellington",15.37
"2002","West Wimmera",0
"2002","Whitehorse",0.84
"2002","Whittlesea",8.18
"2002","Wodonga",10.99
"2002","Wyndham",0
"2002","Yarra",4.14
"2002","Yarra Ranges",18.1
"2002","Yarriambiack",0
"2003","Alpine",0.27
"2003","Ararat",2.03
"2003","Ballarat",14.69
"2003","Banyule",5.02
"2003","Bass Coast",13.82
"2003","Baw Baw",16.51
"2003","Bayside",2.56
"2003","Benalla",3
"2003","Boroondara",2.67
"2003","Brimbank",1.6
"2003","Buloke",3.75
"2003","Campaspe",0
"2003","Cardinia",13.61
"2003","Casey",13.72
"2003","Central Goldfields",9.47
"2003","Colac Otway",0
"2003","Corangamite",0
"2003","Darebin",2.31
"2003","East Gippsland",20
"2003","Frankston",15.82
"2003","Gannawarra",1.82
"2003","Glen Eira",0.93
"2003","Glenelg",25.68
"2003","Golden Plains",0
"2003","Greater Bendigo",4.91
"2003","Greater Dandenong",16.3
"2003","Greater Geelong",5.35
"2003","Greater Shepparton",38.74
"2003","Hepburn",0.84
"2003","Hindmarsh",41.11
"2003","Hobsons Bay",3.36
"2003","Horsham",18.83
"2003","Hume",2.74
"2003","Indigo",12.57
"2003","Kingston",3.74
"2003","Knox",5.5
"2003","Latrobe",6.62
"2003","Loddon",0
"2003","Macedon Ranges",13.58
"2003","Manningham",6.79
"2003","Mansfield",0
"2003","Maribyrnong",0
"2003","Maroondah",3.4
"2003","Melbourne",3.01
"2003","Melton",13.21
"2003","Mildura",0.23
"2003","Mitchell",15.99
"2003","Moira",34.51
"2003","Monash",2
"2003","Moonee Valley",6.26
"2003","Moorabool",0
"2003","Moreland",10.31
"2003","Mornington Peninsula",2.2
"2003","Mount Alexander",0
"2003","Moyne",29.55
"2003","Murrindindi",1.04
"2003","Nillumbik",0
"2003","Northern Grampians",3.05
"2003","Port Phillip",4.46
"2003","Pyrenees",0.62
"2003","Queenscliffe",0
"2003","South Gippsland",7.44
"2003","Southern Grampians",1.2
"2003","Stonnington",1.46
"2003","Strathbogie",0
"2003","Surf Coast",1
"2003","Swan Hill",29.77
"2003","Towong",13.65
"2003","Wangaratta",0
"2003","Warrnambool",10.05
"2003","Wellington",5.47
"2003","West Wimmera",0
"2003","Whitehorse",1.11
"2003","Whittlesea",8.63
"2003","Wodonga",14.48
"2003","Wyndham",0
"2003","Yarra",4.23
"2003","Yarra Ranges",17.07
"2003","Yarriambiack",0
"2004","Alpine",0
"2004","Ararat",2.1
"2004","Ballarat",14.86
"2004","Banyule",6.04
"2004","Bass Coast",9.65
"2004","Baw Baw",12.6
"2004","Bayside",4.01
"2004","Benalla",0
"2004","Boroondara",3.04
"2004","Brimbank",0
"2004","Buloke",0
"2004","Campaspe",0
"2004","Cardinia",15
"2004","Casey",10
"2004","Central Goldfields",9.67
"2004","Colac Otway",0
"2004","Corangamite",61.48
"2004","Darebin",13.07
"2004","East Gippsland",18.7
"2004","Frankston",18.09
"2004","Gannawarra",0
"2004","Glen Eira",0
"2004","Glenelg",16.64
"2004","Golden Plains",6.3
"2004","Greater Bendigo",9.01
"2004","Greater Dandenong",26
"2004","Greater Geelong",8
"2004","Greater Shepparton",29.61
"2004","Hepburn",4.25
"2004","Hindmarsh",0
"2004","Hobsons Bay",6.43
"2004","Horsham",3.47
"2004","Hume",20
"2004","Indigo",3.74
"2004","Kingston",3.72
"2004","Knox",5.26
"2004","Latrobe",8.24
"2004","Loddon",0
"2004","Macedon Ranges",10
"2004","Manningham",11.6
"2004","Mansfield",0
"2004","Maribyrnong",8.5
"2004","Maroondah",5.94
"2004","Melbourne",1.83
"2004","Melton",11.08
"2004","Mildura",0
"2004","Mitchell",0
"2004","Moira",9.02
"2004","Monash",1.45
"2004","Moonee Valley",9.9
"2004","Moorabool",3.8
"2004","Moreland",12.3
"2004","Mornington Peninsula",0
"2004","Mount Alexander",0.39
"2004","Moyne",71.15
"2004","Murrindindi",0
"2004","Nillumbik",0
"2004","Northern Grampians",0
"2004","Port Phillip",4.49
"2004","Pyrenees",0
"2004","Queenscliffe",0
"2004","South Gippsland",8
"2004","Southern Grampians",3
"2004","Stonnington",1.44
"2004","Strathbogie",0
"2004","Surf Coast",0
"2004","Swan Hill",28.99
"2004","Towong",14.17
"2004","Wangaratta",10.21
"2004","Warrnambool",1.44
"2004","Wellington",20.33
"2004","West Wimmera",0
"2004","Whitehorse",1.97
"2004","Whittlesea",13.77
"2004","Wodonga",28.99
"2004","Wyndham",8.24
"2004","Yarra",3.55
"2004","Yarra Ranges",16.43
"2004","Yarriambiack",0
"2005","Alpine",0.18
"2005","Ararat",1.34
"2005","Ballarat",2.14
"2005","Banyule",10.99
"2005","Bass Coast",13.89
"2005","Baw Baw",9.98
"2005","Bayside",8
"2005","Benalla",0
"2005","Boroondara",9.9
"2005","Brimbank",5.05
"2005","Buloke",6.44
"2005","Campaspe",15.78
"2005","Cardinia",11.35
"2005","Casey",11.35
"2005","Central Goldfields",4.96
"2005","Colac Otway",0
"2005","Corangamite",10.05
"2005","Darebin",11.35
"2005","East Gippsland",19.92
"2005","Frankston",19.81
"2005","Gannawarra",0
"2005","Glen Eira",0
"2005","Glenelg",10.08
"2005","Golden Plains",0
"2005","Greater Bendigo",11.14
"2005","Greater Dandenong",11.35
"2005","Greater Geelong",10
"2005","Greater Shepparton",29.56
"2005","Hepburn",9.31
"2005","Hindmarsh",35.89
"2005","Hobsons Bay",9.99
"2005","Horsham",19.51
"2005","Hume",32.17
"2005","Indigo",3.42
"2005","Kingston",6.8
"2005","Knox",2.25
"2005","Latrobe",33.09
"2005","Loddon",0
"2005","Macedon Ranges",10
"2005","Manningham",7.43
"2005","Mansfield",4.28
"2005","Maribyrnong",0
"2005","Maroondah",5.16
"2005","Melbourne",10.98
"2005","Melton",9.9
"2005","Mildura",10.53
"2005","Mitchell",14.54
"2005","Moira",29.05
"2005","Monash",0.91
"2005","Moonee Valley",9.8
"2005","Moorabool",4
"2005","Moreland",10.88
"2005","Mornington Peninsula",4.81
"2005","Mount Alexander",0.97
"2005","Moyne",22.52
"2005","Murrindindi",2.99
"2005","Nillumbik",9.9
"2005","Northern Grampians",15.71
"2005","Port Phillip",4.48
"2005","Pyrenees",0.8
"2005","Queenscliffe",3.84
"2005","South Gippsland",8
"2005","Southern Grampians",3.06
"2005","Stonnington",3.15
"2005","Strathbogie",31.63
"2005","Surf Coast",4.69
"2005","Swan Hill",23.11
"2005","Towong",12.73
"2005","Wangaratta",10.23
"2005","Warrnambool",0.73
"2005","Wellington",19.24
"2005","West Wimmera",0
"2005","Whitehorse",2.6
"2005","Whittlesea",10
"2005","Wodonga",12.51
"2005","Wyndham",8.24
"2005","Yarra",8.55
"2005","Yarra Ranges",32.56
"2005","Yarriambiack",0
"2006","Alpine",8.19
"2006","Ararat",16.53
"2006","Ballarat",13
"2006","Banyule",11.6
"2006","Bass Coast",21.37
"2006","Baw Baw",10.03
"2006","Bayside",7
"2006","Benalla",9.52
"2006","Boroondara",9.9
"2006","Brimbank",13.56
"2006","Buloke",18
"2006","Campaspe",9.45
"2006","Cardinia",12.34
"2006","Casey",11.35
"2006","Central Goldfields",5.68
"2006","Colac Otway",9.01
"2006","Corangamite",2.31
"2006","Darebin",12.35
"2006","East Gippsland",20.04
"2006","Frankston",19.63
"2006","Gannawarra",22.93
"2006","Glen Eira",10
"2006","Glenelg",14.04
"2006","Golden Plains",9.01
"2006","Greater Bendigo",10.04
"2006","Greater Dandenong",10
"2006","Greater Geelong",8
"2006","Greater Shepparton",9.57
"2006","Hepburn",12.7
"2006","Hindmarsh",1.16
"2006","Hobsons Bay",9.99
"2006","Horsham",18.04
"2006","Hume",21.47
"2006","Indigo",12.59
"2006","Kingston",5
"2006","Knox",2.25
"2006","Latrobe",23.23
"2006","Loddon",0
"2006","Macedon Ranges",10
"2006","Manningham",9.9
"2006","Mansfield",9.41
"2006","Maribyrnong",17.07
"2006","Maroondah",5
"2006","Melbourne",3.65
"2006","Melton",9.9
"2006","Mildura",28.41
"2006","Mitchell",9.59
"2006","Moira",9.44
"2006","Monash",1.5
"2006","Moonee Valley",8.71
"2006","Moorabool",9.9
"2006","Moreland",12.61
"2006","Mornington Peninsula",6
"2006","Mount Alexander",10.01
"2006","Moyne",9
"2006","Murrindindi",3.01
"2006","Nillumbik",14
"2006","Northern Grampians",14.7
"2006","Port Phillip",8
"2006","Pyrenees",0.75
"2006","Queenscliffe",2.92
"2006","South Gippsland",8
"2006","Southern Grampians",4.03
"2006","Stonnington",3.58
"2006","Strathbogie",9.58
"2006","Surf Coast",8.99
"2006","Swan Hill",23
"2006","Towong",14.27
"2006","Wangaratta",23.09
"2006","Warrnambool",11.43
"2006","Wellington",18.65
"2006","West Wimmera",0
"2006","Whitehorse",9.2
"2006","Whittlesea",18.2
"2006","Wodonga",11.69
"2006","Wyndham",8.99
"2006","Yarra",8.55
"2006","Yarra Ranges",35.14
"2006","Yarriambiack",0
"2007","Alpine",27.13
"2007","Ararat",10.71
"2007","Ballarat",11
"2007","Banyule",9.37
"2007","Bass Coast",4.8
"2007","Baw Baw",9.79
"2007","Bayside",3.13
"2007","Benalla",12.43
"2007","Boroondara",6
"2007","Brimbank",10.6
"2007","Buloke",13.04
"2007","Campaspe",12.51
