"Year","LGA","Garbage","Population","Garbage_per_person"
"2002","Alpine",2343,12655,185.144211774002
"2002","Ararat",3434.24,11566,296.925471208715
"2002","Ballarat",16000,83168,192.381685263563
"2002","Banyule",19134,117559,162.760826478619
"2002","Bass Coast",5087,25809,197.101786198613
"2002","Baw Baw",8388,35990,233.064740205613
"2002","Bayside",22180,88717,250.008453847628
"2002","Boroondara",38107,156886,242.896115650855
"2002","Brimbank",41550,168499,246.589000528193
"2002","Buloke",1776,7171,247.664203040022
"2002","Campaspe",12788,36247,352.801611167821
"2002","Cardinia",8600,47840,179.765886287625
"2002","Casey",38533,188914,203.971119133574
"2002","Central Goldfields",2470,12835,192.442539929879
"2002","Colac Otway",2800,20689,135.337619024602
"2002","Corangamite",2160,17232,125.348189415042
"2002","Darebin",27180,127359,213.412479683415
"2002","East Gippsland",8503.2998,39112,217.408974227858
"2002","Frankston",18495,114262,161.864836953668
"2002","Gannawarra",2465,11783,209.199694475091
"2002","Glen Eira",41249,123197,334.821464808396
"2002","Glenelg",1571.4,20065,78.3154747072016
"2002","Golden Plains",3800,15119,251.339374297242
"2002","Greater Bendigo",26075,90176,289.156760113556
"2002","Greater Dandenong",31822,127336,249.905761135892
"2002","Greater Geelong",51426,194713,264.111795308993
"2002","Greater Shepparton",16667,57996,287.381888406097
"2002","Hepburn",2730,14192,192.361894024803
"2002","Hindmarsh",1017.6,6452,157.718536887787
"2002","Hobsons Bay",19822.8203,83124,238.472887493383
"2002","Horsham",5190.1001,18326,283.20965295209
"2002","Hume",38382,137854,278.425000362703
"2002","Indigo",2326,14603,159.282339245361
"2002","Kingston",27623,134216,205.81003755141
"2002","Knox",22500,147952,152.07634908619
"2002","Latrobe",24200,69575,347.826086956522
"2002","Loddon",1942,8390,231.466030989273
"2002","Macedon Ranges",6500,37605,172.849355138944
"2002","Manningham",21302,113422,187.811888346176
"2002","Maribyrnong",15900,61557,258.297187972123
"2002","Maroondah",17649.4004,99999,176.49576895769
"2002","Melbourne",14317,60415,236.977571795084
"2002","Melton",12709,57724,220.168387499134
"2002","Mildura",9220.4004,49405,186.62889181257
"2002","Mitchell",4700,28179,166.790872635651
"2002","Moira",8000,26437,302.60619586186
"2002","Monash",48913.6211,162430,301.136619466847
"2002","Moonee Valley",35620,104856,339.703974975204
"2002","Moorabool",4086,24943,163.813494768071
"2002","Moreland",28611,136156,210.133963982491
"2002","Mornington Peninsula",46555,133997,347.433151488466
"2002","Mount Alexander",4500,16968,265.205091937765
"2002","Moyne",2254,15578,144.69123122352
"2002","Murrindindi",3358,13349,251.554423552326
"2002","Nillumbik",8250,60501,136.361382456488
"2002","Northern Grampians",2789.9399,12793,218.08331900258
"2002","Port Phillip",19047,82220,231.658963755777
"2002","Pyrenees",728,6546,111.212954476016
"2002","Queenscliffe",1200,3196,375.469336670839
"2002","South Gippsland",3808,25786,147.677034049484
"2002","Southern Grampians",1280,16862,75.9103309215989
"2002","Stonnington",21600,90370,239.017373022021
"2002","Strathbogie",1089,9538,114.17487942965
"2002","Surf Coast",4759,21001,226.608256749679
"2002","Swan Hill",3800,21065,180.394018514123
"2002","Towong",1386,6196,223.692704970949
"2002","Wangaratta",6666,26341,253.065563190464
"2002","Warrnambool",5127,29658,172.870726279587
"2002","Wellington",6897,40671,169.58029062477
"2002","West Wimmera",538.41,4749,113.373341756159
"2002","Whitehorse",32500,146110,222.435151598111
"2002","Whittlesea",23426,119629,195.822083274122
"2002","Wodonga",8745.5996,32481,269.252781626181
"2002","Wyndham",20779,90333,230.026679065236
"2002","Yarra",13006,69415,187.365843117482
"2002","Yarra Ranges",28978,142449,203.427191486076
"2002","Yarriambiack",1560,8095,192.711550339716
"2003","Alpine",2604,12581,206.97877752166
"2003","Ararat",4993,11536,432.819001386963
"2003","Ballarat",17090,84190,202.993229599715
"2003","Banyule",18814,117313,160.374383060701
"2003","Bass Coast",5289.1899,26224,201.692720408786
"2003","Baw Baw",6592,36283,181.68288179037
"2003","Bayside",20810,89088,233.589260057471
"2003","Benalla",3415.8999,13878,246.137764807609
"2003","Boroondara",43262,157298,275.032104667574
"2003","Brimbank",40600,169424,239.635470771555
"2003","Buloke",1776,7102,250.070402703464
"2003","Campaspe",12399,36457,340.099295059934
"2003","Cardinia",10623,50038,212.298653023702
"2003","Casey",35567,198652,179.041741336609
"2003","Central Goldfields",2500,12732,196.355639333962
"2003","Colac Otway",3100,20697,149.780161376045
"2003","Corangamite",2236,17027,131.320843366418
"2003","Darebin",26991,127711,211.344363445592
"2003","East Gippsland",7700,39329,195.784281319128
"2003","Frankston",18742,115483,162.292285444611
"2003","Gannawarra",3000,11661,257.267815796244
"2003","Glen Eira",33008,123816,266.589132260774
"2003","Glenelg",2600,20039,129.746993362942
"2003","Golden Plains",3505,15477,226.465077211346
"2003","Greater Bendigo",25283,91513,276.277687323113
"2003","Greater Dandenong",31145,127060,245.120415551708
"2003","Greater Geelong",30000,196973,152.305138267681
"2003","Greater Shepparton",16373,58379,280.460439541616
"2003","Hepburn",2332,14114,165.226016720986
"2003","Hindmarsh",1017,6361,159.880521930514
"2003","Hobsons Bay",19251,83107,231.641137328986
"2003","Horsham",4981,18340,271.592148309706
"2003","Hume",32000,140995,226.95840278024
"2003","Indigo",2735,14710,185.92794017675
"2003","Kingston",27034,135191,199.968932843163
"2003","Knox",29450,149038,197.600611924476
"2003","Latrobe",22146.3105,69633,318.043319977597
"2003","Loddon",1942,8284,234.427812650893
"2003","Macedon Ranges",6864,37942,180.90770122819
"2003","Manningham",21148,113434,186.434402383765
"2003","Mansfield",2000,6807,293.815190245336
"2003","Maribyrnong",16312,62516,260.925203147994
"2003","Maroondah",17529,100177,174.980284895735
"2003","Melbourne",15824,65954,239.924796069988
"2003","Melton",15060,63837,235.913341792377
"2003","Mildura",14564.4502,49534,294.029357612953
"2003","Mitchell",4950,29158,169.764730091227
"2003","Moira",6579.7002,26583,247.515336869428
"2003","Monash",35042,162824,215.213973370019
"2003","Moonee Valley",37380,104629,357.262326888339
"2003","Moorabool",4637,25197,184.029844822796
"2003","Moreland",28175,136630,206.213862255727
"2003","Mornington Peninsula",38227.1992,135620,281.869924789854
"2003","Mount Alexander",3700,17153,215.705707456422
"2003","Moyne",2336,15605,149.695610381288
"2003","Murrindindi",3228,13395,240.985442329227
"2003","Nillumbik",8800,60452,145.570039039238
"2003","Northern Grampians",2742.7,12616,217.398541534559
"2003","Port Phillip",18763,84170,222.917904241416
"2003","Pyrenees",780,6551,119.065791482216
"2003","Queenscliffe",1300,3158,411.652944901837
"2003","South Gippsland",3767,25910,145.387881126978
"2003","Southern Grampians",1170,16880,69.3127962085308
"2003","Stonnington",20540,91034,225.629984401432
"2003","Strathbogie",2040,9564,213.299874529486
"2003","Surf Coast",6166,21292,289.592335149352
"2003","Swan Hill",3900,21064,185.150018989746
