"Year","LGA","Garbage","Population","Garbage_per_person"
"2019","Alpine",2204,12814,171.999375682847
"2019","Ararat",2600.9199,11845,219.579560996201
"2019","Ballarat",19438.6602,109505,177.513905301128
"2019","Banyule",20742,131631,157.576862593158
"2019","Bass Coast",4437,36320,122.1640969163
"2019","Baw Baw",9532.8203,53396,178.530607161585
"2019","Bayside",20131.4004,106862,188.386895248077
"2019","Benalla",2036,14037,145.045237586379
"2019","Boroondara",35798,183199,195.404996752166
"2019","Brimbank",42742,209523,203.996697259967
"2019","Buloke",2176,6124,355.32331809275
"2019","Campaspe",7576,37622,201.371537929935
"2019","Cardinia",19852.4102,112159,177.002382332225
"2019","Casey",61906,353872,174.938960980241
"2019","Central Goldfields",2289,13186,173.593204914303
"2019","Colac Otway",5164.9702,21564,239.518187720275
"2019","Corangamite",1785,16020,111.423220973783
"2019","Darebin",25826,164184,157.299127807825
"2019","East Gippsland",6776,47316,143.207371713585
"2019","Frankston",24796,142643,173.83257502997
"2019","Gannawarra",2142,10472,204.545454545455
"2019","Glen Eira",27933,156511,178.473078569557
"2019","Glenelg",3473.0801,19674,176.531467927214
"2019","Golden Plains",4416,23722,186.156310597757
"2019","Greater Bendigo",22422,118093,189.867307969143
"2019","Greater Dandenong",29222.2402,168201,173.734045576423
"2019","Greater Geelong",45000,258934,173.789459862359
"2019","Greater Shepparton",13166.0098,66498,197.991064392914
"2019","Hepburn",4865,15975,304.538341158059
"2019","Hindmarsh",1544,5588,276.30637079456
"2019","Hobsons Bay",19565,97751,200.151405100715
"2019","Horsham",5489.8398,19921,275.580533105768
"2019","Hume",47386,233471,202.963108908601
"2019","Indigo",2250.8201,16701,134.771576552302
"2019","Kingston",28765,165782,173.510996368725
"2019","Knox",28032.4199,164538,170.370491315076
"2019","Latrobe",15027,75561,198.872434192242
"2019","Loddon",2349,7504,313.033049040512
"2019","Macedon Ranges",9222.2998,50231,183.597774282813
"2019","Manningham",19648.5195,127573,154.017852523653
"2019","Mansfield",2325.48,9176,253.430688753269
"2019","Maribyrnong",18705,93448,200.164797534458
"2019","Maroondah",20123,118558,169.731270770425
"2019","Melbourne",30182.6895,178955,168.66077784918
"2019","Melton",30000,164895,181.933957973256
"2019","Mildura",11792.4199,55777,211.420834752676
"2019","Mitchell",8252.4404,46082,179.081645761903
"2019","Moira",4503,29925,150.47619047619
"2019","Monash",31697,202847,156.260629932905
"2019","Moonee Valley",24081,130294,184.820482907885
"2019","Moorabool",6171.1899,35049,176.073208936061
"2019","Moreland",29571.1504,185767,159.184087593598
"2019","Mornington Peninsula",31049.4102,167636,185.219226180534
"2019","Mount Alexander",3097.1399,19754,156.785456110155
"2019","Moyne",2084.77,16953,122.973515012092
"2019","Murrindindi",2629.8601,14570,180.498291008922
"2019","Nillumbik",8059,65094,123.805573478354
"2019","Northern Grampians",3500,11402,306.9636905806
"2019","Port Phillip",20700,115601,179.064194946411
"2019","Pyrenees",1797,7472,240.497858672377
"2019","Queenscliffe",1049,2940,356.802721088435
"2019","South Gippsland",4224.5,29914,141.221501638029
"2019","Southern Grampians",2374,16100,147.453416149068
"2019","Stonnington",20650,117768,175.344745601522
"2019","Strathbogie",1003.14,10781,93.0470271774418
"2019","Surf Coast",6489,33456,193.956241032999
"2019","Swan Hill",3931.72,20649,190.407283645697
"2019","Towong",1900,6040,314.569536423841
"2019","Wangaratta",4718.2798,29187,161.656895193065
"2019","Warrnambool",6059,35181,172.223643443904
"2019","Wellington",6897,44380,155.407841369986
"2019","West Wimmera",897.6,3841,233.689143452226
"2019","Whitehorse",27288,178739,152.669534908442
"2019","Whittlesea",54408,230238,236.311990201444
"2019","Wodonga",4770,42083,113.347432454911
"2019","Wyndham",48477,270487,179.221182533726
"2019","Yarra",14428,101495,142.154785950047
"2019","Yarra Ranges",29308,159462,183.793003975869
"2019","Yarriambiack",1782,6639,268.413917758699
