"Year","LGA","Garbage_share_of_waste"
"2002","Alpine",77.39
"2003","Alpine",78.06
"2004","Alpine",74.95
"2005","Alpine",65.06
"2006","Alpine",67.32
"2007","Alpine",63.23
"2008","Alpine",57.31
"2009","Alpine",58.37
"2010","Alpine",58.61
"2011","Alpine",58.56
"2012","Alpine",54.07
"2013","Alpine",61.29
"2014","Alpine",63.84
"2015","Alpine",51.91
"2016","Alpine",48.67
"2017","Alpine",50.64
"2018","Alpine",48.87
"2019","Alpine",55.14
"2002","Ararat",84.81
"2003","Ararat",91.19
"2004","Ararat",91.87
"2005","Ararat",87.39
"2006","Ararat",84.45
"2007","Ararat",72.81
"2008","Ararat",69.56
"2009","Ararat",70.1
"2010","Ararat",68.44
"2011","Ararat",66.18
"2012","Ararat",66.72
"2013","Ararat",65.61
"2014","Ararat",49.79
"2015","Ararat",72.86
"2016","Ararat",74.05
"2017","Ararat",76.34
"2018","Ararat",75.13
"2019","Ararat",74.05
"2002","Ballarat",67.81
"2003","Ballarat",69.7
"2004","Ballarat",72.76
"2005","Ballarat",69.73
"2006","Ballarat",67.59
"2007","Ballarat",66.14
"2008","Ballarat",65.09
"2009","Ballarat",64.39
"2010","Ballarat",66.24
"2011","Ballarat",63.35
"2012","Ballarat",65.12
"2013","Ballarat",66.24
"2014","Ballarat",67.23
"2015","Ballarat",69.93
"2016","Ballarat",67.23
"2017","Ballarat",50.13
"2018","Ballarat",52.17
"2019","Ballarat",50.99
"2002","Banyule",52.39
"2003","Banyule",53.64
"2004","Banyule",55.87
"2005","Banyule",45.95
"2006","Banyule",44.81
"2007","Banyule",46.35
"2008","Banyule",44.39
"2009","Banyule",43.93
"2010","Banyule",44.42
"2011","Banyule",42.53
"2012","Banyule",43.25
"2013","Banyule",45.57
"2014","Banyule",45.71
"2015","Banyule",47.36
"2016","Banyule",47.73
"2017","Banyule",46.48
"2018","Banyule",48.29
"2019","Banyule",49.94
"2002","Bass Coast",67.14
"2003","Bass Coast",67.54
"2004","Bass Coast",68.93
"2005","Bass Coast",65.82
"2006","Bass Coast",62.9
"2007","Bass Coast",66.58
"2008","Bass Coast",63.62
"2009","Bass Coast",60.92
"2010","Bass Coast",60.63
"2011","Bass Coast",59.61
"2012","Bass Coast",59.94
"2013","Bass Coast",63.98
"2014","Bass Coast",62.4
"2015","Bass Coast",65.02
"2016","Bass Coast",65.34
"2017","Bass Coast",65.53
"2018","Bass Coast",28.11
"2019","Bass Coast",23.67
"2002","Baw Baw",80.82
"2003","Baw Baw",77.48
"2004","Baw Baw",65.08
"2005","Baw Baw",51.91
"2006","Baw Baw",51.34
"2007","Baw Baw",51.39
"2008","Baw Baw",52.31
"2009","Baw Baw",50.63
"2010","Baw Baw",48.69
"2011","Baw Baw",43.36
"2012","Baw Baw",50.15
"2013","Baw Baw",49.21
"2014","Baw Baw",47.29
"2015","Baw Baw",46.8
"2016","Baw Baw",48.07
"2017","Baw Baw",46.92
"2018","Baw Baw",47.46
"2019","Baw Baw",47.3
"2002","Bayside",58.39
"2003","Bayside",59
"2004","Bayside",57.94
"2005","Bayside",48.44
"2006","Bayside",47.96
"2007","Bayside",48.48
"2008","Bayside",49.05
"2009","Bayside",49.2
"2010","Bayside",47.39
"2011","Bayside",45.12
"2012","Bayside",47.03
"2013","Bayside",47.24
"2014","Bayside",48.13
"2015","Bayside",48.35
"2016","Bayside",49.82
"2017","Bayside",49.1
"2018","Bayside",49.56
"2019","Bayside",48.94
"2003","Benalla",72.55
"2004","Benalla",79.95
"2005","Benalla",54.54
"2006","Benalla",70.57
"2007","Benalla",69.56
"2008","Benalla",70.54
"2009","Benalla",69.57
"2010","Benalla",69.68
"2011","Benalla",65.55
"2012","Benalla",61.2
"2013","Benalla",62.27
"2014","Benalla",62.5
"2015","Benalla",62.26
"2016","Benalla",40.64
"2017","Benalla",36.6
"2018","Benalla",38.88
"2019","Benalla",39.08
"2002","Boroondara",59.56
"2003","Boroondara",62.98
"2004","Boroondara",57.24
"2005","Boroondara",52.49
"2006","Boroondara",49.02
"2007","Boroondara",47.44
"2008","Boroondara",49.49
"2009","Boroondara",48.07
"2010","Boroondara",47.91
"2011","Boroondara",46.59
"2012","Boroondara",46.04
"2013","Boroondara",47.95
"2014","Boroondara",47.27
"2015","Boroondara",49.53
"2016","Boroondara",51.17
"2017","Boroondara",52.44
"2018","Boroondara",50.9
"2019","Boroondara",49.4
"2002","Brimbank",77.47
"2003","Brimbank",77
"2004","Brimbank",80.23
"2005","Brimbank",76.02
"2006","Brimbank",60.13
"2007","Brimbank",61.36
"2008","Brimbank",60.13
"2009","Brimbank",60.5
"2010","Brimbank",61.84
"2011","Brimbank",57.21
"2012","Brimbank",57.94
"2013","Brimbank",60.33
"2014","Brimbank",60.95
"2015","Brimbank",62.02
"2016","Brimbank",61.35
"2017","Brimbank",59.92
"2018","Brimbank",60.73
"2019","Brimbank",60.54
"2002","Buloke",87.79
"2003","Buloke",92.12
"2004","Buloke",85.24
"2005","Buloke",82.78
"2006","Buloke",72.72
"2007","Buloke",74.14
"2008","Buloke",69.57
"2009","Buloke",69.89
"2010","Buloke",70.39
"2011","Buloke",68.4
"2012","Buloke",65.72
"2013","Buloke",62.11
"2014","Buloke",65.61
"2015","Buloke",71.68
"2016","Buloke",75.74
"2017","Buloke",76.5
"2018","Buloke",72.47
"2019","Buloke",69.06
"2002","Campaspe",92.45
"2003","Campaspe",92.74
"2004","Campaspe",90.37
"2005","Campaspe",69.4
"2006","Campaspe",66.92
"2007","Campaspe",65.07
"2008","Campaspe",65.43
"2009","Campaspe",61.26
"2010","Campaspe",61.89
"2011","Campaspe",62.06
"2012","Campaspe",62.6
"2013","Campaspe",61.65
"2014","Campaspe",61.87
"2015","Campaspe",60.1
"2016","Campaspe",59.44
"2017","Campaspe",56.76
"2018","Campaspe",57.9
"2019","Campaspe",60.84
"2002","Cardinia",67.51
"2003","Cardinia",77.2
"2004","Cardinia",73.56
"2005","Cardinia",70.9
"2006","Cardinia",70.29
"2007","Cardinia",67.35
"2008","Cardinia",59.87
"2009","Cardinia",60.07
"2010","Cardinia",60.59
"2011","Cardinia",54.99
"2012","Cardinia",54.69
"2013","Cardinia",53.71
"2014","Cardinia",54.05
"2015","Cardinia",53.72
"2016","Cardinia",54.58
"2017","Cardinia",52.82
"2018","Cardinia",52.38
"2019","Cardinia",54.29
"2002","Casey",63.98
"2003","Casey",60.4
"2004","Casey",57.42
"2005","Casey",47.18
"2006","Casey",44.89
"2007","Casey",46.8
"2008","Casey",44.08
"2009","Casey",47.41
"2010","Casey",45.77
"2011","Casey",44.59
"2012","Casey",43.79
"2013","Casey",46.28
"2014","Casey",46.31
"2015","Casey",47.09
"2016","Casey",48.48
"2017","Casey",47.61
"2018","Casey",49.06
"2019","Casey",51.14
"2002","Central Goldfields",80.59
"2003","Central Goldfields",76.54
"2004","Central Goldfields",77.99
"2005","Central Goldfields",81.72
"2006","Central Goldfields",78.92
"2007","Central Goldfields",79.34
"2008","Central Goldfields",77.59
"2009","Central Goldfields",66.09
"2010","Central Goldfields",61.26
"2011","Central Goldfields",59.62
"2012","Central Goldfields",60.74
"2013","Central Goldfields",61.27
"2014","Central Goldfields",59.88
"2015","Central Goldfields",58.88
"2016","Central Goldfields",58.49
"2017","Central Goldfields",57.12
"2018","Central Goldfields",57.3
"2019","Central Goldfields",57.04
"2002","Colac Otway",59
"2003","Colac Otway",47.14
"2004","Colac Otway",46.07
"2005","Colac Otway",56.7
"2006","Colac Otway",60.93
"2007","Colac Otway",67
"2008","Colac Otway",55.03
"2009","Colac Otway",56.92
"2010","Colac Otway",57.74
"2011","Colac Otway",54.33
"2012","Colac Otway",46.02
"2013","Colac Otway",43.35
"2014","Colac Otway",46.1
"2015","Colac Otway",44.53
"2016","Colac Otway",53.08
"2017","Colac Otway",52.8
"2018","Colac Otway",52.16
"2019","Colac Otway",51.81
"2002","Corangamite",61.78
"2003","Corangamite",62.74
"2004","Corangamite",49.95
"2005","Corangamite",53.58
"2006","Corangamite",67.46
"2007","Corangamite",66.54
"2008","Corangamite",62.24
"2009","Corangamite",45.76
"2010","Corangamite",44.03
"2011","Corangamite",42.38
"2012","Corangamite",39.15
"2013","Corangamite",39.44
"2014","Corangamite",39.14
"2015","Corangamite",39.15
"2016","Corangamite",40.68
"2017","Corangamite",35.9
"2018","Corangamite",35.34
"2019","Corangamite",36.89
"2002","Darebin",63.26
"2003","Darebin",63.01
"2004","Darebin",59.39
"2005","Darebin",58.57
"2006","Darebin",52.2
"2007","Darebin",51.8
"2008","Darebin",51.66
"2009","Darebin",54.15
"2010","Darebin",50.91
"2011","Darebin",49.38
"2012","Darebin",49.61
"2013","Darebin",50.84
"2014","Darebin",49.92
"2015","Darebin",51.81
"2016","Darebin",52.6
"2017","Darebin",52.01
"2018","Darebin",50.83
"2019","Darebin",50.09
